law,law_number,punished,punished_percent,punishment,punishment_order,punishment_text
"Статья 7.12. Нарушение авторских и смежных прав, изобретательских и патентных прав",7.12,0,0.0,Приостановление деятельности,2,Приостановление деятельности
"Статья 7.12. Нарушение авторских и смежных прав, изобретательских и патентных прав",7.12,724,1.0,Штраф,1,Штраф
Статья 19.14. Утратила силу,19.14,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 19.14. Утратила силу,19.14,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 19.14. Утратила силу,19.14,0,0.0,Конфискация,4,Конфискация
Статья 19.14. Утратила силу,19.14,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 19.14. Утратила силу,19.14,506,1.0,Штраф,1,Штраф
"Статья 8.17. Нарушение регламентирующих деятельность во внутренних морских водах, в территориальном море, на континентальном шельфе, в исключительной экономической зоне Российской Федерации или открытом море требований или условий лицензии",8.17,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 8.17. Нарушение регламентирующих деятельность во внутренних морских водах, в территориальном море, на континентальном шельфе, в исключительной экономической зоне Российской Федерации или открытом море требований или условий лицензии",8.17,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 8.17. Нарушение регламентирующих деятельность во внутренних морских водах, в территориальном море, на континентальном шельфе, в исключительной экономической зоне Российской Федерации или открытом море требований или условий лицензии",8.17,0,0.0,Конфискация,4,Конфискация
"Статья 8.17. Нарушение регламентирующих деятельность во внутренних морских водах, в территориальном море, на континентальном шельфе, в исключительной экономической зоне Российской Федерации или открытом море требований или условий лицензии",8.17,0,0.0,Приостановление деятельности,2,Приостановление деятельности
"Статья 8.17. Нарушение регламентирующих деятельность во внутренних морских водах, в территориальном море, на континентальном шельфе, в исключительной экономической зоне Российской Федерации или открытом море требований или условий лицензии",8.17,969,1.0,Штраф,1,Штраф
"Статья 7.19. Самовольное подключение и использование электрической, тепловой энергии, нефти или газа",7.19,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 7.19. Самовольное подключение и использование электрической, тепловой энергии, нефти или газа",7.19,7,0.00021208907741251324,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 7.19. Самовольное подключение и использование электрической, тепловой энергии, нефти или газа",7.19,0,0.0,Конфискация,4,Конфискация
"Статья 7.19. Самовольное подключение и использование электрической, тепловой энергии, нефти или газа",7.19,0,0.0,Приостановление деятельности,2,Приостановление деятельности
"Статья 7.19. Самовольное подключение и использование электрической, тепловой энергии, нефти или газа",7.19,32998,0.9997879109225875,Штраф,1,Штраф
"Статья 14.2. Незаконная продажа товаров (иных вещей), свободная реализация которых запрещена или ограничена",14.02,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 14.2. Незаконная продажа товаров (иных вещей), свободная реализация которых запрещена или ограничена",14.02,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 14.2. Незаконная продажа товаров (иных вещей), свободная реализация которых запрещена или ограничена",14.02,1,4.9348598499802604e-05,Конфискация,4,Конфискация
"Статья 14.2. Незаконная продажа товаров (иных вещей), свободная реализация которых запрещена или ограничена",14.02,0,0.0,Приостановление деятельности,2,Приостановление деятельности
"Статья 14.2. Незаконная продажа товаров (иных вещей), свободная реализация которых запрещена или ограничена",14.02,20263,0.9999506514015002,Штраф,1,Штраф
Статья 7.6. Самовольное занятие водного объекта или пользование им с нарушением установленных условий,7.06,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 7.6. Самовольное занятие водного объекта или пользование им с нарушением установленных условий,7.06,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 7.6. Самовольное занятие водного объекта или пользование им с нарушением установленных условий,7.06,0,0.0,Конфискация,4,Конфискация
Статья 7.6. Самовольное занятие водного объекта или пользование им с нарушением установленных условий,7.06,12,0.0784313725490196,Приостановление деятельности,2,Приостановление деятельности
Статья 7.6. Самовольное занятие водного объекта или пользование им с нарушением установленных условий,7.06,141,0.9215686274509803,Штраф,1,Штраф
Статья 14.26. Нарушение правил обращения с ломом и отходами цветных и черных металлов и их отчуждения,14.26,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 14.26. Нарушение правил обращения с ломом и отходами цветных и черных металлов и их отчуждения,14.26,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 14.26. Нарушение правил обращения с ломом и отходами цветных и черных металлов и их отчуждения,14.26,0,0.0,Конфискация,4,Конфискация
Статья 14.26. Нарушение правил обращения с ломом и отходами цветных и черных металлов и их отчуждения,14.26,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 14.26. Нарушение правил обращения с ломом и отходами цветных и черных металлов и их отчуждения,14.26,5932,1.0,Штраф,1,Штраф
Статья 16.19. Несоблюдение таможенной процедуры,16.19,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 16.19. Несоблюдение таможенной процедуры,16.19,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 16.19. Несоблюдение таможенной процедуры,16.19,8,0.13559322033898305,Конфискация,4,Конфискация
Статья 16.19. Несоблюдение таможенной процедуры,16.19,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 16.19. Несоблюдение таможенной процедуры,16.19,51,0.864406779661017,Штраф,1,Штраф
Статья 13.5. Нарушение правил охраны линий или сооружений связи,13.05,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
